SampleDate,StationName
2014-12-22,Putah Creek at Mace Blvd
2014-12-23,Toe Drain at Lisbon Weir
2016-03-15,CCSB Overflow Weir- North
2016-03-16,Toe Drain at Lisbon Weir
2017-01-11,CCSB Overflow Weir- South
2017-01-12,Toe Drain at Lisbon Weir
2017-01-24,Putah Creek at Mace Blvd
2017-01-25,Liberty Cut below Stairsteps
2017-01-31,CCSB Overflow Weir- South
2017-02-01,Shag Slough below Stairsteps
2017-02-14,CCSB Overflow Weir- North
2017-02-16,Prospect Slough
2017-03-01,CCSB Overflow Weir- South
2017-03-02,Prospect Slough
2017-03-15,Toe Drain at Interstate 80
2017-03-16,Toe Drain at 1/2 Lisbon
2017-03-28,CCSB Overflow Weir- North
2017-03-29,Toe Drain at Lisbon Weir
2017-04-11,CCSB Overflow Weir- South
2017-04-12,Toe Drain at 1/2 Lisbon
2017-04-25,CCSB- Low Flow Channel
2017-04-26,Toe Drain at 1/2 Lisbon
