StationName,StationNameStd
Cache Sl nr. Ryer Is,Cache Slough near Ryer Island
Cache Sl nr. Ryer Is Dissolved,Cache Slough near Ryer Island
Cache Sl nr. Ryer Is Total,Cache Slough near Ryer Island
CCSB Low Flow Ch,CCSB- Low Flow Channel
CCSB Low Flow Ch Boron,CCSB- Low Flow Channel
CCSB Low Flow Ch Dissolved,CCSB- Low Flow Channel
CCSB Low Flow Ch Total,CCSB- Low Flow Channel
CCSB North,CCSB Overflow Weir- North
CCSB North filtered,CCSB Overflow Weir- North
CCSB South,CCSB Overflow Weir- South
CCSB South filtered,CCSB Overflow Weir- South
CCSB Weir North,CCSB Overflow Weir- North
CCSB Weir North Boron,CCSB Overflow Weir- North
CCSB Weir North Dissolved,CCSB Overflow Weir- North
CCSB Weir North Total,CCSB Overflow Weir- North
CCSB Weir South,CCSB Overflow Weir- South
CCSB Weir South Boron,CCSB Overflow Weir- South
CCSB Weir South Dissolved,CCSB Overflow Weir- South
CCSB Weir South Total,CCSB Overflow Weir- South
Companion Grab Boron,Companion Grab Sample
Companion Grab Dissolved,Companion Grab Sample
Companion Grab Sample,Companion Grab Sample
Companion Grab Total,Companion Grab Sample
Field and Filter Blank,Field and Filter Blank
Field Blank,Field Blank
Field Blank Day 1 Boron,Field Blank
Field Blank Day 2 Boron,Field Blank
Field Blank filtered,Field Blank
Field Blank Total,Field Blank
Field Duplicate,Field Duplicate Sample
Field Duplicate Day 1 Boron,Field Duplicate Sample
Field Duplicate Day 2 Boron,Field Duplicate Sample
Field Duplicate Dissolved,Field Duplicate Sample
Field Duplicate filtered,Field Duplicate Sample
Field Duplicate Sample,Field Duplicate Sample
Field Duplicate Total,Field Duplicate Sample
Filter Blank,Filter Blank
Filter Blank Dissolved,Filter Blank
Filter Blank filtered,Filter Blank
Fremont Wr East,Fremont Weir- East Side
Fremont Wr- East,Fremont Weir- East Side
Fremont Wr East Boron,Fremont Weir- East Side
Fremont Wr East Dissolved,Fremont Weir- East Side
Fremont Wr East Total,Fremont Weir- East Side
Fremont Wr Mid,Fremont Weir- Middle
Fremont Wr- Mid,Fremont Weir- Middle
Fremont Wr Mid Boron,Fremont Weir- Middle
Fremont Wr Mid Dissolved,Fremont Weir- Middle
Fremont Wr Mid Total,Fremont Weir- Middle
Fremont Wr West,Fremont Weir- West Side
Fremont Wr- West,Fremont Weir- West Side
Fremont Wr West Boron,Fremont Weir- West Side
Fremont Wr West Dissolved,Fremont Weir- West Side
Fremont Wr West Total,Fremont Weir- West Side
LibertyCut@StairStep,Liberty Cut below Stairsteps
LibertyCut@StairStep Boron,Liberty Cut below Stairsteps
LibertyCut@StairStep Dissolved,Liberty Cut below Stairsteps
LibertyCut@StairStep Total,Liberty Cut below Stairsteps
Miner Slough nr SR,Miner Slough near Sac River
MINER SLU A RYER IS Dissolved,Miner Slough near Sac River
MINER SLU A RYER IS Total,Miner Slough near Sac River
MINER SLU A RYER ISL,Miner Slough near Sac River
PROSL@LHOLTR,Prospect Slough
PROSL@LHOLTR Boron,Prospect Slough
PROSL@LHOLTR Dissolved,Prospect Slough
PROSL@LHOLTR Total,Prospect Slough
Putah Cr @ Mace,Putah Creek at Mace Blvd
Putah Cr @ Mace filtered,Putah Creek at Mace Blvd
Putah Cr@Mace,Putah Creek at Mace Blvd
Putah Cr@Mace Boron,Putah Creek at Mace Blvd
Putah Cr@Mace Dissolved,Putah Creek at Mace Blvd
Putah Cr@Mace Total,Putah Creek at Mace Blvd
Ridge Cut Slough,Knights Landing Ridge Cut
Ridge Cut Slough Boron,Knights Landing Ridge Cut
Ridge Cut Slough Dissolved,Knights Landing Ridge Cut
Ridge Cut Slough filtered,Knights Landing Ridge Cut
Ridge Cut Slough Total,Knights Landing Ridge Cut
Sac R AB Sac Weir,Sac River above the Sacramento Weir
ShagSI BI Stairsteps,Shag Slough below Stairsteps
ShagSl Bl Stairsteps,Shag Slough below Stairsteps
ShagSl Bl Stairsteps Boron,Shag Slough below Stairsteps
ShagSl Bl Stairsteps Dissolved,Shag Slough below Stairsteps
ShagSl Bl Stairsteps Total,Shag Slough below Stairsteps
Toe Drain @ I-80,Toe Drain at Interstate 80
Toe Drain @ I-80 filtered,Toe Drain at Interstate 80
Toe Drain @ Rd. 22,Toe Drain at County Road 22
